date,patients,available_doctors,available_nurses,available_respiratory_therapists,available_technicians,available_ventilators,available_monitors,overall_busyness
2024-01-01,15,5,10,3,4,8,12,1.2
2024-01-02,16,6,11,4,5,9,13,1.3
2024-01-03,17,7,12,3,6,10,14,1.4
2024-01-04,18,5,13,4,4,11,15,1.5
2024-01-05,19,6,14,3,5,8,16,1.6
2024-01-06,20,7,10,4,6,9,17,1.2
2024-01-07,21,5,11,3,4,10,12,1.3
2024-01-08,22,6,12,4,5,11,13,1.4
2024-01-09,23,7,13,3,6,8,14,1.5
2024-01-10,24,5,14,4,4,9,15,1.6
2024-01-11,15,6,10,3,5,10,16,1.2
2024-01-12,16,7,11,4,6,11,17,1.3
2024-01-13,17,5,12,3,4,8,12,1.4
2024-01-14,18,6,13,4,5,9,13,1.5
2024-01-15,19,7,14,3,6,10,14,1.6
2024-01-16,20,5,10,4,4,11,15,1.2
2024-01-17,21,6,11,3,5,8,16,1.3
2024-01-18,22,7,12,4,6,9,17,1.4
2024-01-19,23,5,13,3,4,10,12,1.5
2024-01-20,24,6,14,4,5,11,13,1.6
2024-01-21,15,7,10,3,6,8,14,1.2
2024-01-22,16,5,11,4,4,9,15,1.3
2024-01-23,17,6,12,3,5,10,16,1.4
2024-01-24,18,7,13,4,6,11,17,1.5
2024-01-25,19,5,14,3,4,8,12,1.6
2024-01-26,20,6,10,4,5,9,13,1.2
2024-01-27,21,7,11,3,6,10,14,1.3
2024-01-28,22,5,12,4,4,11,15,1.4
2024-01-29,23,6,13,3,5,8,16,1.5
2024-01-30,24,7,14,4,6,9,17,1.6
2024-01-01,15,5,10,3,4,10,12,1.2
2024-01-02,16,6,11,4,5,11,13,1.3
2024-01-03,17,7,12,3,6,8,14,1.4
2024-01-04,18,5,13,4,4,9,15,1.5
2024-01-05,19,6,14,3,5,10,16,1.6
2024-01-06,20,7,10,4,6,11,17,1.2
2024-01-07,21,5,11,3,4,8,12,1.3
2024-01-08,22,6,12,4,5,9,13,1.4
2024-01-09,23,7,13,3,6,10,14,1.5
2024-01-10,24,5,14,4,4,11,15,1.6
2024-01-11,15,6,10,3,5,8,16,1.2
2024-01-12,16,7,11,4,6,9,17,1.3
2024-01-13,17,5,12,3,4,10,12,1.4
2024-01-14,18,6,13,4,5,11,13,1.5
2024-01-15,19,7,14,3,6,8,14,1.6
2024-01-16,20,5,10,4,4,9,15,1.2
2024-01-17,21,6,11,3,5,10,16,1.3
2024-01-18,22,7,12,4,6,11,17,1.4
2024-01-19,23,5,13,3,4,8,12,1.5
2024-01-20,24,6,14,4,5,9,13,1.6
2024-01-21,15,7,10,3,6,10,14,1.2
2024-01-22,16,5,11,4,4,11,15,1.3
2024-01-23,17,6,12,3,5,8,16,1.4
2024-01-24,18,7,13,4,6,9,17,1.5
2024-01-25,19,5,14,3,4,10,12,1.6
2024-01-26,20,6,10,4,5,11,13,1.2
2024-01-27,21,7,11,3,6,8,14,1.3
2024-01-28,22,5,12,4,4,9,15,1.4
2024-01-29,23,6,13,3,5,10,16,1.5
2024-01-30,24,7,14,4,6,11,17,1.6
2024-01-01,15,5,10,3,4,8,12,1.2
2024-01-02,16,6,11,4,5,9,13,1.3
2024-01-03,17,7,12,3,6,10,14,1.4
2024-01-04,18,5,13,4,4,11,15,1.5
2024-01-05,19,6,14,3,5,8,16,1.6
2024-01-06,20,7,10,4,6,9,17,1.2
2024-01-07,21,5,11,3,4,10,12,1.3
2024-01-08,22,6,12,4,5,11,13,1.4
2024-01-09,23,7,13,3,6,8,14,1.5
2024-01-10,24,5,14,4,4,9,15,1.6
2024-01-11,15,6,10,3,5,10,16,1.2
2024-01-12,16,7,11,4,6,11,17,1.3
2024-01-13,17,5,12,3,4,8,12,1.4
2024-01-14,18,6,13,4,5,9,13,1.5
2024-01-15,19,7,14,3,6,10,14,1.6
2024-01-16,20,5,10,4,4,11,15,1.2
2024-01-17,21,6,11,3,5,8,16,1.3
2024-01-18,22,7,12,4,6,9,17,1.4
2024-01-19,23,5,13,3,4,10,12,1.5
2024-01-20,24,6,14,4,5,11,13,1.6
2024-01-21,15,7,10,3,6,8,14,1.2
2024-01-22,16,5,11,4,4,9,15,1.3
2024-01-23,17,6,12,3,5,10,16,1.4
2024-01-24,18,7,13,4,6,11,17,1.5
2024-01-25,19,5,14,3,4,8,12,1.6
2024-01-26,20,6,10,4,5,9,13,1.2
2024-01-27,21,7,11,3,6,10,14,1.3
2024-01-28,22,5,12,4,4,11,15,1.4
2024-01-29,23,6,13,3,5,8,16,1.5
2024-01-30,24,7,14,4,6,9,17,1.6
2024-01-01,15,5,10,3,4,10,12,1.2
2024-01-02,16,6,11,4,5,11,13,1.3
2024-01-03,17,7,12,3,6,8,14,1.4
2024-01-04,18,5,13,4,4,9,15,1.5
2024-01-05,19,6,14,3,5,10,16,1.6
2024-01-06,20,7,10,4,6,11,17,1.2
2024-01-07,21,5,11,3,4,8,12,1.3
2024-01-08,22,6,12,4,5,9,13,1.4
2024-01-09,23,7,13,3,6,10,14,1.5
2024-01-10,24,5,14,4,4,11,15,1.6
